Female,Male,Cross_Type,Sex,Replica,Larva_No,Phenotype,Resistance_Phenotype,Infection_Date,Dissection_Date,Researcher,Comment
892,437,SusceptibleXResistant,Female,1,2,3C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,1,3,4C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,1,4,C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,1,5,2C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,1,6,C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,1,7,3C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,1,8,3C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,1,9,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,1,10,3C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,1,1,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,1,2,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,1,3,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,1,4,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,1,5,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,1,6,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,1,7,2C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,1,8,2C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,1,9,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,1,10,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,1,1,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,1,2,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,1,3,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,1,4,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,1,5,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,1,6,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,1,7,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,1,8,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,1,9,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,1,10,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,1,1,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,1,2,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,1,3,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,1,4,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,1,5,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,1,6,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,1,7,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,1,8,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,1,9,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,1,10,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,1,1,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,1,2,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,1,3,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,1,4,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,1,5,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,1,6,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,1,7,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,1,8,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,1,9,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,1,10,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,1,1,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,1,2,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,1,3,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,1,4,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,1,5,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,1,6,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,1,7,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,1,8,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,1,9,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,1,10,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,1,1,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,1,2,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,1,3,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,1,4,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,1,5,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,1,6,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,1,7,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,1,8,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,1,9,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,1,10,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,1,1,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,1,2,2C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,1,3,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,1,4,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,1,5,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,1,6,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,1,7,2C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,1,8,2C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,1,9,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,1,10,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,1,1,2C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,1,2,2C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,1,3,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,1,4,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,1,5,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,1,6,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,1,7,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,1,8,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,1,9,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,1,10,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,2,1,C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,2,2,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,2,3,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,2,4,3C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,2,5,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,2,6,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,2,7,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,2,8,2WL+3C,Susceptible,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,2,9,WL,Susceptible,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,2,10,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,2,1,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
